ID,Name,Type1,Type2,HP,Atk,Def,Sp Atk,Sp Def,Spe,Color,Height,Weight,Pokedex
1,Bulbasaur,GRASS,POISON,45,49,49,45,65,65,Green,0.7,6.9,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
2,Ivysaur,GRASS,POISON,60,62,63,60,80,80,Green,1.0,13.0,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom."
3,Venusaur,GRASS,POISON,80,82,83,80,100,100,Green,2.0,100.0,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
4,Charmander,FIRE,None,39,52,43,65,60,50,Red,0.6,8.5,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
5,Charmeleon,FIRE,None,58,64,58,80,80,65,Red,1.1,19.0,"When it swings its burning tail, it elevates the air temperature to unbearably high levels."
6,Charizard,FIRE,FLYING,78,84,78,100,109,85,Red,1.7,90.5,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
7,Squirtle,WATER,None,44,48,65,43,50,64,Blue,0.5,9.0,Shoots water at prey while in the water. Withdraws into its shell when in danger.
8,Wartortle,WATER,None,59,63,80,58,65,80,Blue,1.0,22.5,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
9,Blastoise,WATER,None,79,83,100,78,85,105,Blue,1.6,85.5,The pressurized water jets on this brutal Pokémon's shell are used for high-speed tackles.
10,Caterpie,BUG,None,45,30,35,45,20,20,Green,0.3,2.9,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.
11,Metapod,BUG,None,50,20,55,30,25,25,Green,0.7,9.9,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,Butterfree,BUG,FLYING,60,45,50,70,90,80,White,1.1,32.0,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain."
13,Weedle,BUG,POISON,40,35,30,50,20,20,Brown,0.3,3.2,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
14,Kakuna,BUG,POISON,45,25,50,35,25,25,Yellow,0.6,10.0,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
15,Beedrill,BUG,POISON,65,90,40,75,45,80,Yellow,1.0,29.5,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
16,Pidgey,NORMAL,FLYING,40,45,40,56,35,35,Brown,0.3,1.8,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
17,Pidgeotto,NORMAL,FLYING,63,60,55,71,50,50,Brown,1.1,30.0,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
18,Pidgeot,NORMAL,FLYING,83,80,75,101,70,70,Brown,1.5,39.5,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
19,Rattata,NORMAL,None,30,56,35,72,25,35,Purple,0.3,3.5,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."
20,Raticate,NORMAL,None,55,81,60,97,50,70,Brown,0.7,18.5,The webs on its hind legs enable it to cross rivers. It searches wide areas for food.
21,Spearow,NORMAL,FLYING,40,60,30,70,31,31,Brown,0.3,2.0,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,Fearow,NORMAL,FLYING,65,90,65,100,61,61,Brown,1.2,38.0,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.
23,Ekans,POISON,None,35,60,44,55,40,54,Purple,2.0,6.9,"Moving silently and stealthily, it eats the eggs of birds, such as Pidgey and Spearow, whole."
24,Arbok,POISON,None,60,95,69,80,65,79,Purple,3.5,65.0,"To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth."
25,Pikachu,ELECTRIC,None,35,55,40,90,50,50,Yellow,0.4,6.0,"It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs."
26,Raichu,ELECTRIC,None,60,90,55,110,90,80,Yellow,0.8,30.0,"It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size."
27,Sandshrew,GROUND,None,50,75,85,40,20,30,Yellow,0.6,12.0,"Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball."
28,Sandslash,GROUND,None,75,100,110,65,45,55,Yellow,1.0,29.5,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,Nidoran,POISON,None,55,47,52,41,40,40,Blue,0.4,7.0,"Small and very docile, it protects itself with its small, poisonous horn when attacked."
30,Nidorina,POISON,None,70,62,67,56,55,55,Blue,0.8,20.0,"When feeding its young, it first chews the food into a paste, then spits it out for the offspring."
